Epoch: 136, train loss: -1.0468, test auc-roc: 0.9004, test auc-pr: 0.2432, test log prob: -2598.5238
Epoch: 137, train loss: -1.0343, test auc-roc: 0.9013, test auc-pr: 0.1695, test log prob: -2606.1303
Epoch: 138, train loss: -1.0483, test auc-roc: 0.8993, test auc-pr: 0.2189, test log prob: -2592.0249
Epoch: 139, train loss: -1.0621, test auc-roc: 0.9024, test auc-pr: 0.2278, test log prob: -2593.2413
Epoch: 140, train loss: -1.0489, test auc-roc: 0.8924, test auc-pr: 0.2403, test log prob: -2586.3292
Epoch: 141, train loss: -1.0663, test auc-roc: 0.8979, test auc-pr: 0.2014, test log prob: -2602.1445
Epoch: 142, train loss: -1.0890, test auc-roc: 0.9148, test auc-pr: 0.2365, test log prob: -2595.3464
Epoch: 143, train loss: -1.0593, test auc-roc: 0.8942, test auc-pr: 0.2312, test log prob: -2592.8250
Epoch: 144, train loss: -1.0436, test auc-roc: 0.9052, test auc-pr: 0.2294, test log prob: -2592.5069
Epoch: 145, train loss: -1.0599, test auc-roc: 0.8929, test auc-pr: 0.1563, test log prob: -2601.1797
Epoch: 146, train loss: -1.0883, test auc-roc: 0.8977, test auc-pr: 0.1779, test log prob: -2597.0543
Epoch: 147, train loss: -1.0361, test auc-roc: 0.9017, test auc-pr: 0.1926, test log prob: -2590.8273
Epoch: 148, train loss: -1.0644, test auc-roc: 0.9026, test auc-pr: 0.2654, test log prob: -2593.0341
Epoch: 149, train loss: -1.0428, test auc-roc: 0.8884, test auc-pr: 0.2219, test log prob: -2599.6930
Epoch: 150, train loss: -1.0053, test auc-roc: 0.8899, test auc-pr: 0.1837, test log prob: -2616.6514
Epoch: 151, train loss: -1.0722, test auc-roc: 0.9014, test auc-pr: 0.2339, test log prob: -2602.4469
Epoch: 152, train loss: -1.0478, test auc-roc: 0.8955, test auc-pr: 0.1711, test log prob: -2596.0977
Epoch: 153, train loss: -1.0547, test auc-roc: 0.8918, test auc-pr: 0.2640, test log prob: -2610.1962
Epoch: 154, train loss: -1.0804, test auc-roc: 0.8938, test auc-pr: 0.2134, test log prob: -2595.0659
Epoch: 155, train loss: -1.0659, test auc-roc: 0.8985, test auc-pr: 0.2379, test log prob: -2606.9369
Epoch: 156, train loss: -1.0623, test auc-roc: 0.8972, test auc-pr: 0.2013, test log prob: -2606.4497
Epoch: 157, train loss: -1.0652, test auc-roc: 0.8867, test auc-pr: 0.1699, test log prob: -2600.9038
Epoch: 158, train loss: -1.0481, test auc-roc: 0.8902, test auc-pr: 0.2408, test log prob: -2602.5697
Epoch: 159, train loss: -1.0372, test auc-roc: 0.8858, test auc-pr: 0.1714, test log prob: -2598.5893
Epoch: 160, train loss: -1.1052, test auc-roc: 0.8914, test auc-pr: 0.1808, test log prob: -2619.5842
Epoch: 161, train loss: -1.0532, test auc-roc: 0.8985, test auc-pr: 0.2175, test log prob: -2583.6970
